candidate_name,variant_name,source,calendar_primary,calendar_rule_rejection_reasons,variant_gate_pass,params_json
alpha_zoo_conservative_exit_carry_forward_old_split_selected,base,state_distilled_external_risk_filter_seed:historical_old_split_carry_forward,False,,True,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.3, ""max_hold_bars"": 48, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit_carry_forward_old_split_selected,entry_10pct_stricter,state_distilled_external_risk_filter_seed:historical_old_split_carry_forward,False,,True,"{""entry_threshold"": 1.045, ""exit_threshold"": 0.3, ""max_hold_bars"": 48, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit_carry_forward_old_split_selected,entry_25pct_stricter,state_distilled_external_risk_filter_seed:historical_old_split_carry_forward,False,,True,"{""entry_threshold"": 1.1875, ""exit_threshold"": 0.3, ""max_hold_bars"": 48, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit_carry_forward_old_split_selected,exit_hysteresis_25pct_wider,state_distilled_external_risk_filter_seed:historical_old_split_carry_forward,False,,True,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.375, ""max_hold_bars"": 48, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit_carry_forward_old_split_selected,max_hold_50pct_longer,state_distilled_external_risk_filter_seed:historical_old_split_carry_forward,False,,True,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.3, ""max_hold_bars"": 72.0, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit,base,state_distilled_external_risk_filter_seed,False,,True,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.3, ""max_hold_bars"": 48, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit,entry_10pct_stricter,state_distilled_external_risk_filter_seed,False,,True,"{""entry_threshold"": 1.045, ""exit_threshold"": 0.3, ""max_hold_bars"": 48, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit,entry_25pct_stricter,state_distilled_external_risk_filter_seed,False,,True,"{""entry_threshold"": 1.1875, ""exit_threshold"": 0.3, ""max_hold_bars"": 48, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit,exit_hysteresis_25pct_wider,state_distilled_external_risk_filter_seed,False,,True,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.375, ""max_hold_bars"": 48, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
alpha_zoo_conservative_exit,max_hold_50pct_longer,state_distilled_external_risk_filter_seed,False,,True,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.3, ""max_hold_bars"": 72.0, ""risk_off_long_multiplier"": 0.1, ""risk_off_short_multiplier"": 1.2, ""risk_on_long_multiplier"": 1.15, ""risk_on_short_multiplier"": 0.35, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.055}"
