model_id,model_kind,role,candidate_name,variant_name,leverage,allocation_fraction,round_trip_slippage_fee_bps,train_validation_score,filter_trade_count,trade_filter_params,promotability_scope,shadow_only,primary_10bps_promotion_gate_pass,primary_10bps_promotion_gate_reasons,live_promotable_10bps
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_5p0x_0p05alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,5.0,0.05,10.0,169.35718907030292,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_2p0x_0p125alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,2.0,0.125,10.0,169.35718907030292,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
hybrid_v3_5_fresh_tv10,hybrid,fresh_train_validation_10bps_hybrid,,,,,10.0,169.2781904229752,,,live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_3p0x_0p075alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,3.0,0.075,10.0,169.23724717786925,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_4p0x_0p05alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,4.0,0.05,10.0,169.1173753901992,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_2p0x_0p1alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,2.0,0.1,10.0,169.1173753901992,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_1p0x_0p2alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,1.0,0.2,10.0,169.1173753901992,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_1p0x_0p175alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,1.0,0.175,10.0,168.99757368501008,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_3p0x_0p05alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,3.0,0.05,10.0,168.8778420342981,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_2p0x_0p075alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,2.0,0.075,10.0,168.8778420342981,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
