selection_rank,status,decision,model_id,candidate_name,model_kind,role,variant_name,leverage,allocation_fraction,target_notional_fraction_of_equity,expected_replay_notional_for_10000_equity,live_notional_for_10000_equity,notional_parity_passed,train_return,train_mdd,train_sharpe,train_sortino,train_smart_sortino,train_calmar,train_trade_event_count,validation_return,validation_mdd,validation_sharpe,validation_sortino,validation_smart_sortino,validation_calmar,validation_trade_event_count,train_validation_return_ratio,locked_oos_return,locked_oos_mdd,locked_oos_sharpe,locked_oos_sortino,locked_oos_smart_sortino,locked_oos_calmar,locked_oos_trade_event_count,locked_oos_liquidation_count,locked_oos_account_wipeout_count,selection_eligible,calendar_quarantined,historical_oos_bucket_quarantined,primary_10bps_promotion_gate_pass,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons,primary_10bps_gate_reasons,trade_filter_params
1,shadow_only_thin_sample,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_2.5,6.0,0.175,1.0499999999999998,10499.999999999998,10499.999999999998,True,0.427971977575732,0.10286673281806545,1.685054020707634,0.2709357039707418,0.2456649528982,4.160450768205711,63,0.08897474255677351,0.03941707543298312,2.058868730919238,0.39643785240144636,0.3814040213225329,10.499501886308693,14,4.810038953500194,-0.006058989201550791,0.014596168858557173,-1.1827728373962028,-0.08959941599106075,-0.08831042215728258,-3.1943509819336473,5,0.0,0.0,True,False,False,False,False,False,False,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""abs_factor_score_min"": 2.5}"
2,shadow_only_thin_sample,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_2.5,6.0,0.175,1.0499999999999998,10499.999999999998,10499.999999999998,True,0.427971977575732,0.10286673281806545,1.685054020707634,0.2709357039707418,0.2456649528982,4.160450768205711,63,0.08897474255677351,0.03941707543298312,2.058868730919238,0.39643785240144636,0.3814040213225329,10.499501886308693,14,4.810038953500194,-0.006058989201550791,0.014596168858557173,-1.1827728373962028,-0.08959941599106075,-0.08831042215728258,-3.1943509819336473,5,0.0,0.0,True,False,False,False,False,False,False,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""abs_factor_score_min"": 2.5}"
3,shadow_only_thin_sample,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_3,6.0,0.175,1.0499999999999998,10499.999999999998,10499.999999999998,True,0.4548121710643429,0.08295409288387388,1.8341183402570111,0.2506341022047147,0.23143557409463564,5.482697179282368,42,0.07572443448626331,0.017492844285999048,2.0068679537661636,0.6478931759571771,0.6367545281478815,19.73678821351685,8,6.0061481363303875,-0.0022533146249008595,0.0022533146249008595,-2.8029452799069183,-0.08394158892769572,-0.08375286736678078,-7.796077565916012,1,0.0,0.0,True,False,False,False,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""abs_factor_score_min"": 3.0}"
4,shadow_only_thin_sample,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_3,6.0,0.175,1.0499999999999998,10499.999999999998,10499.999999999998,True,0.4548121710643429,0.08295409288387388,1.8341183402570111,0.2506341022047147,0.23143557409463564,5.482697179282368,42,0.07572443448626331,0.017492844285999048,2.0068679537661636,0.6478931759571771,0.6367545281478815,19.73678821351685,8,6.0061481363303875,-0.0022533146249008595,0.0022533146249008595,-2.8029452799069183,-0.08394158892769572,-0.08375286736678078,-7.796077565916012,1,0.0,0.0,True,False,False,False,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""abs_factor_score_min"": 3.0}"
5,reject_or_quarantine,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_1.5,6.0,0.175,1.0499999999999998,10499.999999999998,10499.999999999998,True,0.045832420459388734,0.33740571535229197,0.3172223927875162,0.09388537661442306,0.07019962269990172,0.1358377122080881,476,0.27384367402254894,0.08415325084034228,2.6402638863113643,0.8997357369643636,0.829897190518929,19.88743926985838,103,0.16736709592792998,-0.042506741781909496,0.12632836588465282,-1.2984872356864003,-0.4506730429851092,-0.4001258040155428,-2.2886843685313982,56,0.0,0.0,True,False,False,False,False,False,False,train_validation_return_ratio_0.1674_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,"{""abs_factor_score_min"": 1.5}"
6,reject_or_quarantine,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_1.5,6.0,0.175,1.0499999999999998,10499.999999999998,10499.999999999998,True,0.045832420459388734,0.33740571535229197,0.3172223927875162,0.09388537661442306,0.07019962269990172,0.1358377122080881,476,0.27384367402254894,0.08415325084034228,2.6402638863113643,0.8997357369643636,0.829897190518929,19.88743926985838,103,0.16736709592792998,-0.042506741781909496,0.12632836588465282,-1.2984872356864003,-0.4506730429851092,-0.4001258040155428,-2.2886843685313982,56,0.0,0.0,True,False,False,False,False,False,False,train_validation_return_ratio_0.1674_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,"{""abs_factor_score_min"": 1.5}"
7,shadow_only_thin_sample,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_2.5,5.0,0.2,1.0,10000.0,10000.0,True,0.40576842790572965,0.09814465301049659,1.6869540664036848,0.27121650195605634,0.24697702730922821,4.13439158893692,63,0.08474392125079433,0.03756073402249249,2.0589828337973635,0.39646889447579947,0.3821163248330913,10.427736149343323,14,4.788171492618136,-0.0057667602440657495,0.013903125890445229,-1.1827728373962496,-0.08959941599106354,-0.08837078583062281,-3.195027655542906,5,0.0,0.0,True,False,False,False,False,False,False,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""abs_factor_score_min"": 2.5}"
8,shadow_only_thin_sample,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_5p0x_0p2alloc,alpha_zoo_conservative_exit,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_2.5,5.0,0.2,1.0,10000.0,10000.0,True,0.40576842790572965,0.09814465301049659,1.6869540664036848,0.27121650195605634,0.24697702730922821,4.13439158893692,63,0.08474392125079433,0.03756073402249249,2.0589828337973635,0.39646889447579947,0.3821163248330913,10.427736149343323,14,4.788171492618136,-0.0057667602440657495,0.013903125890445229,-1.1827728373962496,-0.08959941599106354,-0.08837078583062281,-3.195027655542906,5,0.0,0.0,True,False,False,False,False,False,False,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""abs_factor_score_min"": 2.5}"
9,shadow_only_thin_sample,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_3,5.0,0.2,1.0,10000.0,10000.0,True,0.43015622229658024,0.07911268492008443,1.833869603930689,0.25034366456816587,0.23199028986180947,5.437259811509393,42,0.072127109959772,0.016660456212946755,2.0069991288724767,0.6480303847447785,0.6374108295297403,19.631369988205908,8,5.9638632760482775,-0.0021460139284770197,0.0021460139284770197,-2.802945279906917,-0.08394158892769572,-0.08376183486340406,-7.798942888470177,1,0.0,0.0,True,False,False,False,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""abs_factor_score_min"": 3.0}"
10,shadow_only_thin_sample,not_promoted_shadow_or_reject,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p2alloc,alpha_zoo_conservative_exit,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,abs_score_ge_3,5.0,0.2,1.0,10000.0,10000.0,True,0.43015622229658024,0.07911268492008443,1.833869603930689,0.25034366456816587,0.23199028986180947,5.437259811509393,42,0.072127109959772,0.016660456212946755,2.0069991288724767,0.6480303847447785,0.6374108295297403,19.631369988205908,8,5.9638632760482775,-0.0021460139284770197,0.0021460139284770197,-2.802945279906917,-0.08394158892769572,-0.08376183486340406,-7.798942888470177,1,0.0,0.0,True,False,False,False,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,"{""abs_factor_score_min"": 3.0}"
