symbol,asset_group,source_artifact_kinds,timeframes_observed,families_observed,total_candidate_rows,paper_monitor_count,shadow_watchlist_count,coverage_blocked_shadow_count,insufficient_candidate_evidence_count,best_paper_model_id,best_paper_family,best_paper_timeframe,best_paper_train_return,best_paper_validation_return,best_paper_locked_oos_return_report_only,best_paper_train_rpt_bps,best_paper_validation_rpt_bps,best_paper_locked_oos_rpt_bps_report_only,best_shadow_model_id,best_shadow_family,best_shadow_timeframe,best_shadow_train_return,best_shadow_validation_return,best_shadow_locked_oos_return_report_only,monitoring_action,ready_for_real,real_money_execution
ADAUSDT,crypto_high_beta_alt,,,,0,0,0,0,0,,,,,,,,,,,,,,,,source_coverage_only_no_candidate_rows,False,False
AVAXUSDT,crypto_high_beta_alt,alpha_zoo_asset_diverse_strategy_discovery,2h,cross_asset_rank_chandelier_breakout,16,0,0,16,0,,,,,,,,,,a30fb_asset_diverse_rank_chandelier_2h_avaxusdt_lb12_top1_mom0p005_breadth0p4_adx18p0_trail2p0_hold12_4p0x_0p125_56a81e2b,cross_asset_rank_chandelier_breakout,2h,0.22134342455307854,0.1994937914258217,0.0,shadow_monitor_or_extend_data_before_paper_review,False,False
BNBUSDT,crypto_exchange_beta,alpha_zoo_30m_plus_alpha_booster_discovery;alpha_zoo_30m_plus_alpha_feedback_discovery;alpha_zoo_asset_diverse_strategy_discovery,12h;2h;4h;6h,ma_slope_adx_trend_filter;multi_horizon_consensus_momentum;relative_residual_reclaim;relative_strength_chandelier_breakout;trend_pullback_reclaim;volatility_adjusted_trend_persistence,147,0,147,0,0,,,,,,,,,,a30fb_booster_mh_consensus_2h_bnbusdt_s6_l24_thr0p005_adx18p0_hold18_cool2_4p0x_0p15_64149974,multi_horizon_consensus_momentum,2h,0.31804789004206446,0.20471138511059772,-0.0755368944734992,shadow_monitor_or_extend_data_before_paper_review,False,False
BTCUSDT,crypto_major,alpha_zoo_30m_plus_alpha_booster_discovery;alpha_zoo_30m_plus_alpha_feedback_discovery,4h;6h,multi_horizon_consensus_momentum;volatility_adjusted_trend_persistence,13,0,13,0,0,,,,,,,,,,a30fb_voladj_trend_4h_btcusdt_lb12_z1p0_hold4_cool0_low_vol_q70_3p0x_0p15_6ee8568c,volatility_adjusted_trend_persistence,4h,0.1641505744105054,0.10186602158880165,-0.02792265779831138,shadow_monitor_or_extend_data_before_paper_review,False,False
DOGEUSDT,crypto_high_beta_alt,alpha_zoo_asset_diverse_strategy_discovery,1h,cross_asset_rank_chandelier_breakout,128,0,0,128,0,,,,,,,,,,a30fb_asset_diverse_rank_chandelier_1h_dogeusdt_lb12_top1_mom0p015_breadth0p4_adx12p0_trail2p0_hold18_4p0x_0p125_20ad5aa3,cross_asset_rank_chandelier_breakout,1h,0.6034681651701586,0.2664674248269061,0.0,shadow_monitor_or_extend_data_before_paper_review,False,False
ETHUSDT,crypto_major,alpha_zoo_30m_plus_alpha_booster_discovery;alpha_zoo_30m_plus_alpha_feedback_discovery;alpha_zoo_asset_diverse_strategy_discovery;alpha_zoo_debounced_efficiency_repair_discovery,12h;1h;2h;30m;4h;6h,breadth_regime_pullback_reclaim;debounced_momentum_hysteresis_efficiency_repair;donchian_atr_volatility_breakout;ma_slope_adx_trend_filter;multi_horizon_consensus_momentum;relative_residual_reclaim;relative_strength_chandelier_breakout;trend_pullback_reclaim;volatility_adjusted_trend_persistence,776,15,761,0,0,debrepair_debounced_efficiency_repair_1h_ethusdt_long_short_lb6_e0p02_x0p005_hold48_cool6_adx20_3p0x_0p1_236cf336,debounced_momentum_hysteresis_efficiency_repair,1h,0.11639687680058386,0.08333447331241417,0.014278695722198309,15.519583573411179,47.08162334034698,16.412293933561273,debrepair_debounced_efficiency_repair_4h_ethusdt_long_short_lb12_e0p02_x0p005_hold48_cool6_low_vol_q65_3p0x_0p15_12b53e05,debounced_momentum_hysteresis_efficiency_repair,4h,0.5701480539314439,0.24022993541488313,0.04275033433240494,monitor_all_paper_testnet_candidates_for_symbol,False,False
SOLUSDT,crypto_high_beta_alt,alpha_zoo_30m_plus_alpha_booster_discovery;alpha_zoo_30m_plus_alpha_feedback_discovery;alpha_zoo_asset_diverse_strategy_discovery;alpha_zoo_debounced_efficiency_repair_discovery,1h;2h;4h;6h,cross_asset_rank_chandelier_breakout;debounced_momentum_hysteresis_efficiency_repair;donchian_atr_volatility_breakout;multi_horizon_consensus_momentum;relative_strength_chandelier_breakout;volatility_adjusted_trend_persistence;volatility_squeeze_range_expansion,1257,119,1138,0,0,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,debounced_momentum_hysteresis_efficiency_repair,1h,0.2821976972035505,0.16929444454793252,0.024704079822259528,24.68921235376645,59.715853456060856,21.11459813868336,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p02_x0p005_hold48_cool0_none_3p0x_0p15_852b9c04,debounced_momentum_hysteresis_efficiency_repair,1h,0.7852823829149143,0.33602286131872305,-0.030944365243869565,monitor_all_paper_testnet_candidates_for_symbol,False,False
TONUSDT,crypto_high_beta_alt,,,,0,0,0,0,0,,,,,,,,,,,,,,,,source_coverage_only_no_candidate_rows,False,False
TRXUSDT,crypto_payment_alt,alpha_zoo_30m_plus_alpha_booster_discovery;alpha_zoo_30m_plus_alpha_feedback_discovery;alpha_zoo_asset_diverse_strategy_discovery,1h;2h;4h;6h,relative_residual_reclaim;volatility_adjusted_trend_persistence;volatility_squeeze_range_expansion,46,2,44,0,0,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_adx15_3p0x_0p15_cca555d7,volatility_adjusted_trend_persistence,4h,0.1349142742436873,0.029576296641619093,0.011824956187697966,15.065803935643471,12.63944300923893,10.511072166842638,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_low_vol_q70_3p0x_0p15_144859db,volatility_adjusted_trend_persistence,4h,0.17448202025522286,0.035094263820031335,0.0031013449267609516,monitor_all_paper_testnet_candidates_for_symbol,False,False
XAGUSDT,precious_metal_proxy,,,,0,0,0,0,0,,,,,,,,,,,,,,,,source_coverage_only_no_candidate_rows,False,False
